run_id,t,Q0,Q1,Q2,Q3,Q4,Q5,completed,op_feed_util,scanner_util,m1_fixture_util,m2_cooling_slot_util,op_battery_monitor_util,m3_punch_util,op_maint_util,m4_module_util,op_sort_util,op_pack_util
run_001,30,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_001,60,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_001,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_001,120,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_001,150,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_001,180,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_001,210,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_001,240,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_001,270,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_001,300,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_001,330,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_001,360,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_001,390,20,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_001,420,19,1,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_001,450,17,2,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
run_001,480,16,3,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
run_001,510,14,4,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
run_001,540,12,6,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
run_001,570,10,8,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
run_001,600,8,9,1,0,0,0,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
run_001,630,6,11,0,0,0,0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
run_001,660,3,13,1,0,0,0,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
run_001,690,1,14,2,0,0,0,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
run_001,720,18,16,1,0,0,0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
run_001,750,16,17,2,0,0,0,2,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
run_001,780,14,18,3,0,0,0,2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
run_001,810,12,20,2,0,0,0,2,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
run_001,840,10,21,3,0,0,0,3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
run_001,870,8,22,4,0,0,0,3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
run_001,900,7,23,3,0,0,0,4,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
run_001,930,5,24,4,0,0,0,4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
